"","x"
"D9","#E69F00"
"L15","#56B4E9"
"L14","#009E73"
"D11","#F0E442"
"E015","#0072B2"
"L1","#D55E00"
"L3","#CC79A7"
"L2","#666666"
"L21","#AD7700"
"L20","#1C91D4"
"E008","#007756"
"M70","#D5C711"
"D13","#005685"
"P28","#A04700"
"B1","#B14380"
"L18","#4D4D4D"
"C1","#FFBE2D"
"F1","#80C7EF"
"P71","#00F6B3"
"P51","#F4EB71"
"C2","#06A5FF"
"J1","#FF8320"
"I1","#D99BBD"
"D12","#8C8C8C"
"L10","#FFCB57"
"P60","#9AD2F2"
"H1","#2CFFC6"
"L5","#F6EF8E"
"D8","#38B7FF"
"D14","#FF9B4D"
"M56","#E0AFCA"
